time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590090070.712925, 0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 51, 51, 51, 51, 51
1590090071.712926, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 50, 50, 50, 50, 50
1590090072.7129269, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090073.712928, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 48, 48, 48, 48, 48
1590090074.712929, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090075.71293, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 48, 48, 48, 48, 48
1590090076.7129312, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090077.712932, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 50, 50, 50, 50, 50
1590090078.712933, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090079.7129338, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 50, 50, 50, 50, 50
1590090080.712935, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 51, 51, 51, 51, 51
1590090081.712936, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 50, 50, 50, 50, 50
1590090082.7129369, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090083.712938, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 50, 50, 50, 50, 50
1590090084.712939, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090085.71294, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 48, 48, 48, 48, 48
1590090086.7129412, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 49, 49, 49, 49, 49
1590090087.7129421, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 48, 48, 48, 48, 48
1590090088.712943, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 47, 47, 47, 47, 47
1590090089.712944, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 48, 48, 48, 48, 48
1590090090.712945, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 47, 47, 47, 47, 47
1590090091.712946, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 46, 46, 46, 46, 46
1590090092.712947, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 47, 47, 47, 47, 47
1590090093.712948, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 46, 46, 46, 46, 46
1590090094.712949, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 45, 45, 45, 45, 45
1590090095.71295, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 44, 44, 44, 44, 44
1590090096.712951, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090097.7129521, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 44, 44, 44, 44, 44
1590090098.7129579, 0.0, None, 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090099.712959, 0.0, tensor(5.6388, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 44, 44, 44, 44, 44
1590090100.71296, 0.0, tensor(3.3678, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090101.712961, 0.0, tensor(0.9473, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090102.7129622, 0.0, tensor(0.7551, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090103.712963, 0.0, tensor(1.3047, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 44, 44, 44, 44, 44
1590090104.712964, 0.0, tensor(0.9584, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090105.712965, 0.0, tensor(0.2744, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090106.712966, 0.0, tensor(0.1878, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 41, 41, 41, 41, 41
1590090107.712967, 0.0, tensor(0.3471, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090108.7129679, 0.0, tensor(0.3437, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 41, 41, 41, 41, 41
1590090109.712969, 0.0, tensor(0.3012, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 40, 40, 40, 40, 40
1590090110.71297, 0.0, tensor(0.1840, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 41, 41, 41, 41, 41
1590090111.712971, 0.0, tensor(0.2931, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090112.712972, 0.0, tensor(0.3480, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 41, 41, 41, 41, 41
1590090113.712973, 0.0, tensor(0.1289, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090114.712974, 0.0, tensor(0.1892, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090115.712975, 0.0, tensor(0.1197, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090116.712976, 0.0, tensor(0.1140, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 43, 43, 43, 43, 43
1590090117.712977, 0.0, tensor(0.0931, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 42, 42, 42, 42, 42
1590090118.712978, 0.0, tensor(0.0384, grad_fn=<SmoothL1LossBackward>), 124.14200000000001, 68.58500000000002, 7.589, 7.1129999999999995, 1.8980000000000001, 41, 41, 41, 41, 41
